load,bus,connection_spec,phases,conn,kW,kvar,group_first_node
s701a,701,701.1.2,1,delta,140.0,70.0,1
s701b,701,701.2.3,1,delta,140.0,70.0,2
s701c,701,701.3.1,1,delta,350.0,175.0,3
s712c,712,712.3.1,1,delta,85.0,40.0,3
s713c,713,713.3.1,1,delta,85.0,40.0,3
s714a,714,714.1.2,1,delta,17.0,8.0,1
s714b,714,714.2.3,1,delta,21.0,10.0,2
s718a,718,718.1.2,1,delta,85.0,40.0,1
s720c,720,720.3.1,1,delta,85.0,40.0,3
s722b,722,722.2.3,1,delta,140.0,70.0,2
s722c,722,722.3.1,1,delta,21.0,10.0,3
s724b,724,724.2.3,1,delta,42.0,21.0,2
s725b,725,725.2.3,1,delta,42.0,21.0,2
s727c,727,727.3.1,1,delta,42.0,21.0,3
s728,728,728,3,delta,126.0,63.0,1
s729a,729,729.1.2,1,delta,42.0,21.0,1
s730c,730,730.3.1,1,delta,85.0,40.0,3
s731b,731,731.2.3,1,delta,85.0,40.0,2
s732c,732,732.3.1,1,delta,42.0,21.0,3
s733a,733,733.1.2,1,delta,85.0,40.0,1
s734c,734,734.3.1,1,delta,42.0,21.0,3
s735c,735,735.3.1,1,delta,85.0,40.0,3
s736b,736,736.2.3,1,delta,42.0,21.0,2
s737a,737,737.1.2,1,delta,140.0,70.0,1
s738a,738,738.1.2,1,delta,126.0,62.0,1
s740c,740,740.3.1,1,delta,85.0,40.0,3
s741c,741,741.3.1,1,delta,42.0,21.0,3
s742a,742,742.1.2,1,delta,8.0,4.0,1
s742b,742,742.2.3,1,delta,85.0,40.0,2
s744a,744,744.1.2,1,delta,42.0,21.0,1
