hour,load_multiplier,sampling_probability,q_735,q_740,q_741,q_total
0,0.62,0.041667,357.8,219.7,345.0,922.5
1,0.58,0.041667,348.1,213.3,334.9,896.3
2,0.55,0.041667,342.9,209.8,329.5,882.2
3,0.54,0.041667,336.8,206.1,323.7,866.6
4,0.57,0.041667,355.1,217.3,341.3,913.7
5,0.65,0.041667,393.6,248.8,392.0,1034.4
6,0.78,0.041667,393.6,249.2,398.5,1041.3
7,0.88,0.041667,393.6,249.2,398.5,1041.3
8,0.95,0.041667,393.6,249.2,398.5,1041.3
9,1.0,0.041667,393.6,249.2,398.5,1041.3
10,1.04,0.041667,393.6,249.2,398.5,1041.3
11,1.08,0.041667,393.6,249.2,398.5,1041.3
12,1.1,0.041667,393.6,249.2,398.5,1041.3
13,1.08,0.041667,393.6,249.2,398.5,1041.3
14,1.03,0.041667,393.6,249.2,398.5,1041.3
15,1.0,0.041667,393.6,249.2,398.5,1041.3
16,1.05,0.041667,393.6,249.2,398.5,1041.3
17,1.16,0.041667,393.6,249.2,398.5,1041.3
18,1.28,0.041667,393.6,249.2,398.5,1041.3
19,1.34,0.041667,393.6,249.2,398.5,1041.3
20,1.26,0.041667,393.6,249.2,398.5,1041.3
21,1.08,0.041667,393.6,249.2,398.5,1041.3
22,0.88,0.041667,393.6,249.2,398.5,1041.3
23,0.72,0.041667,377.4,233.0,365.7,976.1
