control,hour,load_multiplier,total_kvar,q_735,q_740,q_741,S_r_kVA,conv_loss_kW_Ltot_0.010,conv_loss_kW_Ltot_0.015,conv_loss_kW_Ltot_0.020,conv_loss_kW_Ltot_0.025
fixed,0,0.62,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
fixed,1,0.58,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
fixed,2,0.55,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
fixed,3,0.54,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
fixed,4,0.57,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
fixed,5,0.65,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
fixed,6,0.78,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
fixed,7,0.88,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
fixed,8,0.95,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
fixed,9,1.0,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
fixed,10,1.04,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
fixed,11,1.08,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
fixed,12,1.1,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
fixed,13,1.08,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
fixed,14,1.03,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
fixed,15,1.0,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
fixed,16,1.05,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
fixed,17,1.16,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
fixed,18,1.28,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
fixed,19,1.34,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
fixed,20,1.26,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
fixed,21,1.08,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
fixed,22,0.88,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
fixed,23,0.72,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
droop,0,0.62,784.63,296.58,187.78,300.27,450.0,8.866,13.299,17.732,22.165
droop,1,0.58,789.96,298.6,189.05,302.31,450.0,8.903,13.354,17.805,22.256
droop,2,0.55,742.7,280.73,177.74,284.23,450.0,8.585,12.877,17.17,21.462
droop,3,0.54,726.99,274.79,173.98,278.21,450.0,8.482,12.723,16.965,21.206
droop,4,0.57,774.19,292.63,185.28,296.28,450.0,8.795,13.192,17.59,21.987
droop,5,0.65,832.41,314.64,199.21,318.56,450.0,9.2,13.799,18.399,22.999
droop,6,0.78,937.75,354.46,224.42,358.87,450.0,9.985,14.977,19.97,24.962
droop,7,0.88,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
droop,8,0.95,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
droop,9,1.0,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
droop,10,1.04,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
droop,11,1.08,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
droop,12,1.1,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
droop,13,1.08,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
droop,14,1.03,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
droop,15,1.0,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
droop,16,1.05,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
droop,17,1.16,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
droop,18,1.28,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
droop,19,1.34,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
droop,20,1.26,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
droop,21,1.08,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
droop,22,0.88,1041.3,393.6,249.2,398.5,450.0,10.823,16.235,21.647,27.058
droop,23,0.72,907.99,343.21,217.3,347.48,450.0,9.756,14.634,19.512,24.39
coord,0,0.62,452.44,171.02,108.28,173.15,450.0,6.936,10.403,13.871,17.339
coord,1,0.58,414.35,156.62,99.16,158.57,450.0,6.758,10.136,13.515,16.894
coord,2,0.55,401.65,151.82,96.12,153.71,450.0,6.7,10.051,13.401,16.751
coord,3,0.54,383.92,145.12,91.88,146.92,450.0,6.622,9.933,13.244,16.555
coord,4,0.57,407.06,153.86,97.41,155.78,450.0,6.725,10.087,13.449,16.812
coord,5,0.65,472.4,178.56,113.05,180.78,450.0,7.032,10.548,14.065,17.581
coord,6,0.78,563.69,213.07,134.9,215.72,450.0,7.506,11.259,15.013,18.766
coord,7,0.88,630.02,238.14,150.77,241.1,450.0,7.883,11.824,15.766,19.707
coord,8,0.95,706.94,267.21,169.18,270.54,450.0,8.354,12.53,16.707,20.884
coord,9,1.0,746.9,282.32,178.75,285.84,450.0,8.613,12.919,17.225,21.531
coord,10,1.04,771.97,291.8,184.74,295.43,450.0,8.78,13.17,17.56,21.95
coord,11,1.08,806.15,304.72,192.93,308.51,450.0,9.015,13.522,18.029,22.536
coord,12,1.1,820.34,310.08,196.32,313.94,450.0,9.114,13.671,18.228,22.785
coord,13,1.08,806.15,304.72,192.93,308.51,450.0,9.015,13.522,18.029,22.536
coord,14,1.03,764.06,288.81,182.85,292.4,450.0,8.727,13.09,17.453,21.817
coord,15,1.0,746.9,282.32,178.75,285.84,450.0,8.613,12.919,17.225,21.531
coord,16,1.05,779.89,294.79,186.64,298.46,450.0,8.834,13.25,17.667,22.084
coord,17,1.16,861.63,325.69,206.2,329.74,450.0,9.411,14.116,18.821,23.526
coord,18,1.28,943.06,356.47,225.69,360.91,450.0,10.026,15.039,20.052,25.066
coord,19,1.34,982.6,371.41,235.15,376.04,450.0,10.34,15.51,20.68,25.85
coord,20,1.26,927.4,350.55,221.94,354.91,450.0,9.905,14.857,19.809,24.762
coord,21,1.08,806.15,304.72,192.93,308.51,450.0,9.015,13.522,18.029,22.536
coord,22,0.88,630.02,238.14,150.77,241.1,450.0,7.883,11.824,15.766,19.707
coord,23,0.72,520.77,196.85,124.63,199.3,450.0,7.277,10.916,14.554,18.193
