hour,reg1a_tap,reg2a_tap,reg3a_tap,reg4a_tap,reg3c_tap,reg4b_tap,reg4c_tap,c83_kvar,c88a_kvar,c90b_kvar,c92c_kvar,c83_state,c88a_state,c90b_state,c92c_state
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,50.0,50.0,50.0,1,1,1,1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,50.0,50.0,50.0,1,1,1,1
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,50.0,50.0,50.0,1,1,1,1
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,50.0,50.0,50.0,1,1,1,1
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,50.0,50.0,50.0,1,1,1,1
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,50.0,50.0,50.0,1,1,1,1
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,50.0,50.0,50.0,1,1,1,1
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,50.0,50.0,50.0,1,1,1,1
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,50.0,50.0,50.0,1,1,1,1
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,50.0,50.0,50.0,1,1,1,1
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,50.0,50.0,50.0,1,1,1,1
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,50.0,50.0,50.0,1,1,1,1
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,50.0,50.0,50.0,1,1,1,1
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,50.0,50.0,50.0,1,1,1,1
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,50.0,50.0,50.0,1,1,1,1
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,50.0,50.0,50.0,1,1,1,1
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,50.0,50.0,50.0,1,1,1,1
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,50.0,50.0,50.0,1,1,1,1
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,50.0,50.0,50.0,1,1,1,1
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,50.0,50.0,50.0,1,1,1,1
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,50.0,50.0,50.0,1,1,1,1
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,50.0,50.0,50.0,1,1,1,1
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,50.0,50.0,50.0,1,1,1,1
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,50.0,50.0,50.0,1,1,1,1
